date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score,news_count,fear_greed_value,fear_greed_classification,price_change,volatility_14d,price_to_ma7,price_to_ma30,trends_change,trends_pct_change,trends_rolling_mean_7d,trends_rolling_std_7d,fear_greed_change,fear_greed_rolling_mean_7d,fear_greed_rolling_std_7d,return_lag_1,log_return_lag_1,volume_change_lag_1,volatility_7d_lag_1,trends_lag_1,trends_change_lag_1,fear_greed_lag_1,fear_greed_change_lag_1,news_count_lag_1,return_lag_3,log_return_lag_3,volume_change_lag_3,volatility_7d_lag_3,trends_lag_3,trends_change_lag_3,fear_greed_lag_3,fear_greed_change_lag_3,news_count_lag_3,return_lag_7,log_return_lag_7,volume_change_lag_7,volatility_7d_lag_7,trends_lag_7,trends_change_lag_7,fear_greed_lag_7,fear_greed_change_lag_7,news_count_lag_7,return_lag_14,log_return_lag_14,volume_change_lag_14,volatility_7d_lag_14,trends_lag_14,trends_change_lag_14,fear_greed_lag_14,fear_greed_change_lag_14,news_count_lag_14,news_count_change,news_count_rolling_mean_7d,target_up_next_day,target_high_volatility_next_7d
2021-03-25,52526.86659704657,982797427007.2563,73029051195.05199,-0.03770281676857401,-0.03843195374510304,0.02327159276025347,56228.17887423426,,0.2094230690427954,45.0,,60.0,Greed,-2058.003349947976,,-0.0658266433537964,,0.0,0.0,47.285714285714285,3.9036002917941386,-5.0,68.57142857142857,5.191568255583349,0.003949454585630008,0.003941675964016703,-0.026101504465591674,0.028734236022813,45.0,0.0,65.0,-1.0,,-0.013749091197684415,-0.013844485349914278,0.020440501193445426,0.031579804324764774,45.0,0.0,70.0,-3.0,,0.038442065075686704,0.037721575657684546,0.002346798428021879,,53.0,0.0,72.0,1.0,,,,,,,,,,,,,0,0
2021-03-26,51416.90830498005,959155260366.7408,63401640502.561295,-0.021131248901280153,-0.0213577096895831,0.023334763504823674,55298.82154742725,,-0.13182987502845978,45.0,,54.0,Neutral,-1109.958292066527,,-0.07019884210584604,,0.0,0.0,46.142857142857146,3.0237157840738322,-6.0,66.14285714285714,7.380798769522855,-0.03770281676857401,-0.03843195374510304,0.2094230690427954,0.02327159276025347,45.0,0.0,60.0,-5.0,,-0.055640174693793676,-0.05724801458858087,0.11385417608890291,0.030003343184437568,45.0,0.0,66.0,-4.0,,-0.018512537764319936,-0.018686039432101023,-0.07860814976542341,,53.0,0.0,71.0,-1.0,,,,,,,,,,,,,1,1
2021-03-27,55033.10048044704,1027209990794.894,55442557956.15464,0.07033079768269035,0.06796775740752022,0.04028823439625268,54840.22581478774,,-0.12553433134092362,45.0,,65.0,Greed,3616.1921754669966,,0.0035170290200974286,,0.0,0.0,45.0,0.0,11.0,64.71428571428571,6.26403186758295,-0.021131248901280153,-0.0213577096895831,-0.13182987502845978,0.023334763504823674,45.0,0.0,54.0,-6.0,,0.003949454585630008,0.003941675964016703,-0.026101504465591674,0.028734236022813,45.0,0.0,65.0,-1.0,,0.0055394970366591245,0.005524210450299236,-0.11027483263252436,,53.0,0.0,75.0,4.0,,,,,,,,,,,,,1,1
2021-03-28,55832.41810961832,1042184275332.6416,47285749218.66506,0.014524306684397414,0.01441983927162474,0.041036358491451326,54476.834334537205,,-0.14712179665195435,45.0,,74.0,Greed,799.3176291712734,0.035806371926868634,0.024883673797133632,,0.0,0.0,45.0,0.0,9.0,64.85714285714286,6.491753010000971,0.07033079768269035,0.06796775740752022,-0.12553433134092362,0.04028823439625268,45.0,0.0,65.0,11.0,,-0.03770281676857401,-0.03843195374510304,0.2094230690427954,0.02327159276025347,45.0,0.0,60.0,-5.0,,0.0022816002786092415,0.00227900138103981,0.05006360656112041,0.033067123687477384,45.0,-8.0,73.0,-2.0,,,,,,53.0,,78.0,,,,,0,1
2021-03-29,55728.10132780653,1039333584621.1438,49315845081.42435,-0.0018683908980438035,-0.0018701385174811848,0.04089007971553827,54213.20033211261,,0.042932509187312284,45.0,,72.0,Greed,-104.31678181178722,0.035099613769770374,0.02794339729832518,,0.0,0.0,45.0,0.0,-2.0,65.14285714285714,6.792853387410675,0.014524306684397414,0.01441983927162474,-0.14712179665195435,0.041036358491451326,45.0,0.0,74.0,9.0,,-0.021131248901280153,-0.0213577096895831,-0.13182987502845978,0.023334763504823674,45.0,0.0,54.0,-6.0,,-0.013749091197684415,-0.013844485349914278,0.020440501193445426,0.031579804324764774,45.0,0.0,70.0,-3.0,,-0.03076285212040486,-0.031245962380146035,-0.2855768755553739,,53.0,0.0,76.0,-2.0,,,,1,1
2021-03-30,57634.92869447539,1075942162536.995,57387039705.47129,0.03421662179826357,0.033644252982199425,0.03573157241285788,54679.59906590978,,0.16366331370213305,45.0,,72.0,Greed,1906.827366668862,0.03232640233540879,0.05404812176847362,,0.0,0.0,45.0,0.0,0.0,66.0,7.280109889280492,-0.0018683908980438035,-0.0018701385174811848,0.042932509187312284,0.04089007971553827,45.0,0.0,72.0,-2.0,,0.07033079768269035,0.06796775740752022,-0.12553433134092362,0.04028823439625268,45.0,0.0,65.0,11.0,,-0.055640174693793676,-0.05724801458858087,0.11385417608890291,0.030003343184437568,45.0,0.0,66.0,-4.0,,-0.06097427677449563,-0.06291240587272799,0.46753645576099934,,53.0,0.0,71.0,-5.0,,,,1,1
2021-03-31,58668.628336761,1095293012032.8431,52387542500.62196,0.017935298363346286,0.017776358508604866,0.0357993996561574,55262.9931215907,,-0.08711892494382623,45.0,,76.0,Extreme Greed,1033.69964228561,0.03231063652000141,0.061625963828581654,,0.0,0.0,45.0,0.0,4.0,67.57142857142857,8.162049229148732,0.03421662179826357,0.033644252982199425,0.16366331370213305,0.03573157241285788,45.0,0.0,72.0,0.0,,0.014524306684397414,0.01441983927162474,-0.14712179665195435,0.041036358491451326,45.0,0.0,74.0,9.0,,0.003949454585630008,0.003941675964016703,-0.026101504465591674,0.028734236022813,45.0,0.0,65.0,-1.0,,0.0183660610846772,0.018199441983708185,-0.10446402518363918,,53.0,0.0,71.0,0.0,,,,1,1
2021-04-01,58817.3738884188,1098127310946.8978,57495844477.9185,0.002535350763682276,0.002532142184040447,0.02934269270399501,56161.63702035816,,0.09750986080776536,45.0,,74.0,Greed,148.74555165779748,0.030642261090767252,0.047287383505184355,,0.0,0.0,45.0,0.0,-2.0,69.57142857142857,7.699721701835351,0.017935298363346286,0.017776358508604866,-0.08711892494382623,0.0357993996561574,45.0,0.0,76.0,4.0,,-0.0018683908980438035,-0.0018701385174811848,0.042932509187312284,0.04089007971553827,45.0,0.0,72.0,-2.0,,-0.03770281676857401,-0.03843195374510304,0.2094230690427954,0.02327159276025347,45.0,0.0,60.0,-5.0,,0.038442065075686704,0.037721575657684546,0.002346798428021879,,53.0,0.0,72.0,1.0,,,,0,1
2021-04-02,58801.194843878126,1098583823874.2308,54320681400.56781,-0.00027507254185410446,-0.0002751103812449562,0.02569987119963636,57216.5350973436,,-0.055224218483652776,45.0,,74.0,Greed,-16.179044540673203,0.030169869343973296,0.027695835545415548,,0.0,0.0,45.0,0.0,0.0,72.42857142857143,3.552329886011137,0.002535350763682276,0.002532142184040447,0.09750986080776536,0.02934269270399501,45.0,0.0,74.0,-2.0,,0.03421662179826357,0.033644252982199425,0.16366331370213305,0.03573157241285788,45.0,0.0,72.0,0.0,,-0.021131248901280153,-0.0213577096895831,-0.13182987502845978,0.023334763504823674,45.0,0.0,54.0,-6.0,,-0.018512537764319936,-0.018686039432101023,-0.07860814976542341,,53.0,0.0,71.0,-1.0,,,,1,0
2021-04-03,59060.02678333801,1103133931136.5508,52224918752.08043,0.004401814285357686,0.004392154637134274,0.012929751880991814,57791.810283470884,,-0.03858130263560122,45.0,,73.0,Greed,258.8319394598875,0.03015967123157802,0.021944571274830738,,0.0,0.0,45.0,0.0,-1.0,73.57142857142857,1.397276262011684,-0.00027507254185410446,-0.0002751103812449562,-0.055224218483652776,0.02569987119963636,45.0,0.0,74.0,0.0,,0.017935298363346286,0.017776358508604866,-0.08711892494382623,0.0357993996561574,45.0,0.0,76.0,4.0,,0.07033079768269035,0.06796775740752022,-0.12553433134092362,0.04028823439625268,45.0,0.0,65.0,11.0,,0.0055394970366591245,0.005524210450299236,-0.11027483263252436,,53.0,0.0,75.0,4.0,,,,0,0
2021-04-04,57060.40665471088,1067101827372.9528,52067853987.600494,-0.033857419942641576,-0.03444385725812909,0.02078459120694185,57967.23721848411,,-0.003007467856973478,41.0,,74.0,Greed,-1999.6201286271316,0.03159232116006061,-0.01564384654654649,,-4.0,-0.0888888888888889,44.42857142857143,1.5118578920369636,1.0,73.57142857142857,1.397276262011684,0.004401814285357686,0.004392154637134274,-0.03858130263560122,0.012929751880991814,45.0,0.0,73.0,-1.0,,0.002535350763682276,0.002532142184040447,0.09750986080776536,0.02934269270399501,45.0,0.0,74.0,-2.0,,0.014524306684397414,0.01441983927162474,-0.14712179665195435,0.041036358491451326,45.0,0.0,74.0,9.0,,0.0022816002786092415,0.00227900138103981,0.05006360656112041,0.033067123687477384,45.0,-8.0,73.0,-2.0,,,,1,0
