date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change
2021-06-07,35834.4744744042,671131079523.7289,27689283070.836933,0.008087563594138869,0.008055034521293664,0.03941068527178422,37025.42319770333,42259.62651301165,-0.18723897508917198
2021-06-08,33451.38340714534,626527049947.8439,33345528753.340157,-0.06650274916019905,-0.0688172610075876,0.041096701466857226,36469.809503589495,41415.609903599514,0.20427562779552533
2021-06-09,33557.15068309184,629018966290.4011,46727462986.366455,0.003161820683443173,0.0031568326398599567,0.041609502917723015,36023.678429487925,40593.71738324443,0.4013112022308496
2021-06-10,37553.64375851888,705292677171.4633,54511387836.11497,0.1190951256013737,0.11252043519065874,0.0642871871718382,36004.810683312295,39982.11658870968,0.16658137104553705
2021-06-11,36903.304906778896,691681868464.4717,42952476854.83458,-0.017317596553928505,-0.0174693001075742,0.062276740761462564,35683.66621516638,39314.59434038226,-0.21204580254004024
2021-06-12,37289.43252210222,698528023663.5321,36358044262.70976,0.010463225889895789,0.01040886520516849,0.058391383572478306,35733.767959553574,38890.75001834777,-0.15352857564912625
2021-06-13,35666.14977877309,668148892256.3638,35710196743.32056,-0.04353197765525063,-0.04450792260554109,0.05910473428619609,35750.79136154492,38413.861831027796,-0.017818546968811022
2021-06-14,39147.70567879997,733402631079.1185,38185633278.28716,0.09761513147962342,0.09313976386350278,0.06944340178956457,36224.110105030035,38055.009915521514,0.0693201595264139
2021-06-15,40624.51305316154,761104314502.2867,45836408439.45157,0.03772398276615552,0.03702983682599398,0.05960449531451243,37248.84291160378,37849.796940470624,0.20035742514488386
2021-06-16,40378.20254971114,756522207420.3483,36706248352.23714,-0.006063100451889292,-0.006081555680517419,0.06038339058682968,38223.27889254939,37642.90155428139,-0.19919012850396167
2021-06-17,38321.454656574206,718016373177.285,36563438889.78541,-0.05093708395277852,-0.052280185365112634,0.05127694548534399,38332.96616370015,37460.92252290636,-0.0038906036128049104
2021-06-18,38193.61914194397,715652442155.1261,36330237284.41833,-0.0033358732275655667,-0.0033414496576235535,0.05057599632943364,38517.29676872374,37297.675112718855,-0.0063779997847037695
2021-06-19,35881.11137137543,673761687974.4922,35162612172.75275,-0.06054696628707179,-0.06245745210418949,0.056324187038071155,38316.10803290562,37250.79911168379,-0.03213920962102723
2021-06-20,35581.64226773201,666901325910.3705,28858979691.78587,-0.008346149051624119,-0.008381173167427107,0.053734763428578074,38304.03553132833,37088.929517399665,-0.179270881526018
2021-06-21,35787.07740523232,670634370556.6146,35609127163.62243,0.00577362719670238,0.0057570236888545455,0.03362666822117461,37823.94577796152,37037.17762419588,0.23390111306526373
2021-06-22,31711.93546772701,598335733135.868,51873870276.52254,-0.11387188429389583,-0.1208937387108893,0.04345856269098067,36550.72040861373,36843.56488393762,0.4567577025453138
2021-06-23,32507.738707026845,606580031922.7239,57443014757.92467,0.025094754626683757,0.024785051855958994,0.04812990216445544,35426.3684310874,36761.238580773104,0.10735934010157422
