date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score
2023-10-31,34498.70391946407,673508057017.6387,17075173423.648045,-0.0016650796096666,-0.0016664673954497,0.0137031466745168,34219.97608077449,29587.682326308182,0.648339738712798,22.0
2023-11-01,34672.2892841885,676319525450.0793,16419150928.652369,0.0050316488738144,0.0050190324319256,0.0103346266297507,34337.913941753955,29811.17494981156,-0.0384196680595423,22.0
2023-11-02,35457.45491210553,692543794894.7606,18642295524.912045,0.0226453356304652,0.0223927363701446,0.0114071066314563,34478.69521038731,30072.587950711903,0.1353994859977905,22.0
2023-11-03,34924.05545044328,681560028736.5514,20690186421.955303,-0.0150433657177165,-0.0151576648885827,0.0127744383642775,34585.78148146313,30322.08573416984,0.1098518631628076,22.0
2023-11-04,34731.38136896784,677974451476.0634,17254049537.002068,-0.0055169446672319,-0.0055322192115776,0.0124337062080062,34704.6798118242,30553.394737227125,-0.1660756851038806,22.0
2023-11-05,35048.407834901074,685385094861.7168,10001404422.938835,0.0091279544157865,0.009086546429276,0.0125992882764987,34841.2193692617,30807.14584455266,-0.4203445167182125,24.0
2023-11-06,35061.92874919579,684647430279.3319,12796779677.519655,0.0003857782743914,0.0003857038810852,0.0118961806364688,34913.46021703801,31043.936921614168,0.2794982720796146,24.0
2023-11-07,35031.26888208706,683644463783.0627,12717348149.539808,-0.0008744489593839,-0.0008748315129071,0.0118577468985736,34989.54092598415,31279.06110132707,-0.00620714976592,24.0
2023-11-08,35436.53762957962,691660755958.351,18582602380.374496,0.0115687715696701,0.0115023650027242,0.0123600358757424,35098.71926104003,31528.675567254773,0.4612010430057252,24.0
2023-11-09,35795.0806307102,699187515031.6934,14717120833.223528,0.0101178903220866,0.010067047132733,0.0096915495930291,35146.95150655498,31802.05217046379,-0.2080161576956191,24.0
2023-11-10,36768.42081912672,717022051490.4104,38190964507.15763,0.0271920099428815,0.0268288754409098,0.0108319170939523,35410.43227350976,32114.5912743436,1.5950024423895806,24.0
2023-11-11,37344.249000720345,730760729870.4996,23152060053.421646,0.0156609440592043,0.0155395769833941,0.0094876250098828,35783.69907804583,32464.65989306453,-0.3937817399431595,24.0
