date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score
2016-12-25,894.3371331688621,14366519915.082954,4022250326.352514,0.0029784556083682,0.0029740287973246,0.0309024963418544,854.1345572960068,784.0787793453803,-0.133535136891169,53.0
2016-12-26,902.6063,14501002033.91,4809313197.626971,0.0092461405486297,0.0092036566649584,0.0303837954172832,870.2045572960069,789.7411960120469,0.1956772471663113,53.0
2016-12-27,929.115,14928671401.875002,4597863955.069579,0.0293690615720274,0.0289460529684908,0.0303788977089816,888.6893715817212,796.4531126787135,-0.043966619321388,53.0
2016-12-28,977.14,15702309526.679998,4906008701.836555,0.0516889728397453,0.0503974174073377,0.0322365002800704,910.192119024123,804.6296973001021,0.0670191092599024,53.0
2016-12-29,971.7212999999998,15617018872.949997,3796961161.0862846,-0.0055454694311973,-0.0055609026294682,0.0332396282217455,926.2428333098376,812.6267406334352,-0.2260590243827126,53.0
2016-12-30,960.925,15445427987.500002,4380999912.176424,-0.0111104902197779,-0.011172672730682,0.0264865186611538,932.5037190241233,819.9122806334352,0.1538174151149467,53.0
2016-12-31,966.5689708732556,15537921940.53077,3381572989.475814,0.0058734769865032,0.0058562953649603,0.0217754527119505,943.2019577203024,827.0294129958771,-0.2281275833680872,53.0
2017-01-01,998.05,16045986192.85,3470830329.607551,0.0325698735169437,0.0320507176716816,0.0226360373412337,958.0180815533222,834.5920363292105,0.0263952132364213,53.0
2017-01-02,1019.1988,16387926824.930002,4444828109.160988,0.0211901207354341,0.0209687321662796,0.022490633500511,974.6741529818936,843.0708688850801,0.2806238528126401,53.0
2017-01-03,1035.5313,16652715382.972502,4399421326.952804,0.0160248422584485,0.0158977998991484,0.0218963056304987,989.8764815533222,852.0429522184133,-0.0102156441358438,53.0
2017-01-04,1130.8495163207272,18187664239.845806,8705359110.270647,0.0920476438720172,0.0880545062903857,0.0345654741751547,1011.8349838848546,864.6632694291042,0.9787509454795252,53.0
2017-01-05,990.6674999999996,15934886737.499996,12102750396.564293,-0.1239616892412144,-0.1323454552591319,0.0653346330780179,1014.5415838848546,872.3957694291042,0.3902643467384796,53.0
2017-01-06,894.0325,14382278476.6875,10713248031.59434,-0.0975453419033122,-0.102636830373269,0.0760942027071003,1004.9855124562832,876.7330194291043,-0.1148088095218755,53.0
2017-01-07,900.0787999999999,14481153594.445597,7496626398.452948,0.0067629532483437,0.0067401870667978,0.076121356714362,995.4869166172468,881.113146095771,-0.300247098140105,53.0
2017-01-08,908.0850000000004,14611836820.125006,4735054808.286752,0.0088949989712017,0.008855671507632,0.0745510019872859,982.6347737601038,885.7212694291043,-0.3683752455285876,53.0
2017-01-09,901.8788880390636,14513519375.287489,4072687734.819042,-0.0068342852937079,-0.0068577459738668,0.0732795747618847,965.8747863371128,890.0130225842555,-0.1398858303199596,53.0
2017-01-10,905.759462698434,14577733897.52693,3216810928.8509765,0.0043027669356003,0.0042935365020799,0.0725845553964437,947.3359524368892,894.5972546742034,-0.2101503630270573,53.0
2017-01-11,784.2775000000003,12624083564.875004,5258603516.371743,-0.1341216600006753,-0.1440108652778748,0.0662093107798639,897.8256643910711,894.7920946334509,0.6347257058872533,53.0
2017-01-12,799.4275,12869633173.255,3344901197.95181,0.0193171422105056,0.0191329346810572,0.0610968479732928,870.5056643910712,895.4991779667843,-0.3639183506537344,53.0
